name,registered,times_kicked,nb_player_kills,nb_mob_kills,nb_deaths,nb_sessions,longest_session,avg_session,active_playtime,afk_time,favorite_world,geolocation
MikoMan,1673102488795,6,55,22,80,60,10775887,1845115.0500,102342768,8364135,S09 - Zhen Zhou,France
ManuPourLesIntim,1676124697163,1,6,9,21,29,14875917,2926605.3448,81180015,3691540,S11 - Ecera,France
AdraiK,1676125003268,0,2,1,4,13,4672430,768402.6154,9989234,0,S09 - Zhen Zhou,France
ItsIno_,1687545527367,0,0,0,1,9,14020514,2255873.2222,20114565,188294,S09 - Zhen Zhou,Sweden
Megamat_,1681047147331,0,28,55,88,93,13724293,2850254.4731,241681326,23392340,S13 - Fafnir's Rest,France
Axaltau,1675528194199,0,33,16,46,13,7966225,1909796.0769,24538261,289088,Switch,France
_TMH,1663436131242,1,160,19,219,56,14906842,1736023.8393,95874286,1343049,S11 - Ecera,France
Feynoox_,1678476766474,0,0,0,0,1,7691,7691.0000,7691,0,LobbySurvisland,France
ClementDD,1681047256881,0,0,0,1,6,10687563,2257570.3333,12672523,872899,DRRP1,France
CestAntoine,1681048463431,0,0,0,1,8,1322392,440662.0000,3060201,465095,S13 - Fafnir's Rest,Belgium
JxyL,1674824420940,0,0,0,0,2,57885,31263.5000,62527,0,LobbySurvisland,France
LTHCTheMaster,1687118530805,1,27,24,389,12,14604290,5266829.8333,59826463,3375495,Switch,France
Zorbull,1688232373317,1,40,15,90,8,5963726,1648276.7500,13186214,0,Switch,France
Grenzo_67,1677958481930,0,0,0,0,1,244,244.0000,244,0,LobbySurvisland,France
Enlaniel,1682870593330,8,282,79,752,100,22906964,1556082.1600,154665453,942763,Switch,France
Hacheuh,1684609921195,5,1,1,9,50,11925995,1440665.2400,69684957,2348305,S13 - Fafnir's Rest,France
Luxio_,1679170324025,3,320,92,885,67,15851068,2737812.5821,182280345,1153098,Switch,France
e_psi_lon,1682945813547,0,12,6,60,3,3913803,2093426.0000,6097620,182658,Switch,France
MaskedCat,1688240282740,0,0,0,0,1,33195,33195.0000,33195,0,Switch,France
LaySe,1688419338460,0,19,5,23,3,3294342,1268270.3333,3804811,0,Switch,France
In_way,1688419349602,0,0,0,3,1,769090,769090.0000,769090,0,Switch,France
D0gma_,1688419350202,0,0,0,0,1,236626,236626.0000,236626,0,Switch,France
Chlowe_,1688419395766,0,0,0,0,1,176360,176360.0000,176360,0,Switch,France
Zybern,1688502872727,0,20,10,33,9,3820258,994116.0000,8947044,0,Switch,France
feaudive,1688583671458,1,18,18,204,12,7596617,2166375.9167,25309247,687264,Switch,France
Ervita,1685120753201,6,99,36,127,9,9493754,2486134.6667,22192694,182518,Switch,France
ADC_Diff,1688583868323,0,58,33,82,1,14829244,14829244.0000,14829244,0,Switch,France
Rignchen,1688583890436,0,6,7,86,28,6378161,856586.6071,22446352,1538073,Switch,Switzerland
HV_ThePanda,1682950277279,3,16,8,43,5,5501948,1131617.2000,5658086,0,Switch,France
DenisBrogniartBG,1682945876833,14,195,64,405,42,9724725,1766723.3810,73762389,439993,Switch,France
titou2000,1677268955871,0,62,7,90,7,13662215,4621084.8571,32132972,214622,Switch,France
TheFRcRaZy,1688932274063,0,0,0,0,2,83724,44329.0000,88658,0,LobbySurvisland,France
TreekoZ,1678447465689,5,221,37,327,167,14058494,1142532.8443,177282233,13520752,Switch,Canada
Minaato_,1676817576712,0,0,0,0,1,22269,22269.0000,22269,0,LobbySurvisland,France
Belioz,1689516135636,0,22,18,23,17,11612778,2525762.7647,41286087,1651880,S14 - Phain,France
Glowthon,1676731492432,0,11,9,1,2,1115368,564348.0000,1128696,0,LobbySurvisland,France
Ikinox_51,1660392052853,0,9,62,180,23,13139530,3015758.5652,64271435,5091012,Switch,France
SAYK00,1690729388241,0,48,12,79,2,10064407,7299214.0000,14598428,0,Switch,France
LAD_SiphaGirl,1690729431809,0,105,17,153,6,9839339,4833925.5000,28458490,545063,Switch,France
Thitanas,1690730911252,31,314,493,996,305,25371443,1307265.8328,383682252,15033827,Switch,Belgium
FlamBleue,1690732280436,0,34,3,92,6,10192257,3459302.0000,20340336,415476,Switch,Switzerland
Sharkflash78,1690732376990,0,12,2,47,2,3470408,3259776.5000,6519553,0,Switch,France
FantoVakkin,1690899827499,5,1,1,36,26,11654486,2986597.1154,58973909,18677616,Switch,France
Antoine0_,1690905363587,0,0,0,0,1,17022,17022.0000,17022,0,Switch,France
Benjoujou,1691000412852,2,81,9,124,13,8625784,2127811.3846,26996803,664745,Switch,Belgium
NoixFR,1691001302106,0,79,2,49,11,2964444,979563.9091,10775203,0,Switch,France
Alkokolo,1691002629366,0,20,5,55,2,5075145,3327864.5000,6655729,0,Switch,France
ChevalierAlbert,1691003868053,0,25,6,34,1,4126050,4126050.0000,4126050,0,Switch,France
Squaks,1691266125486,0,0,0,3,1,1926039,1926039.0000,1716518,209521,Switch,Belgium
Elmat26,1691508743446,0,0,0,0,1,4311,4311.0000,4311,0,Switch,France
Nek0r_,1685211341891,0,0,0,0,1,7449,7449.0000,7449,0,LobbySurvisland,France
4Mel,1677354986676,0,0,0,0,1,4390,4390.0000,4390,0,LobbySurvisland,France
PandaOne_,1677872932083,1,13,1,87,18,9990397,1855907.5000,32698960,707375,Switch,France
JC_Sakka,1676821843612,3,18,101,84,49,10534262,1184582.6531,47956816,10087734,Switch,Canada
Vaath01,1693054135497,0,8,38,37,29,12737996,2597225.3448,67433530,7886005,S13 - Fafnir's Rest,France
RoXxeeer,1693056574176,1,114,50,308,120,15630015,3125012.5667,352399091,22602417,S11 - Ecera,France
NavySim,1676733863132,9,18,11,134,155,13846822,1588433.0968,230462360,15744770,S13 - Fafnir's Rest,Canada
JulDragonne,1693061754820,2,149,99,317,115,26075062,2547685.8435,272641547,20342325,Switch,France
SteelPikachuuu,1681048188731,0,0,0,5,21,14875928,1597682.4286,31142156,2409175,S13 - Fafnir's Rest,France
Mizanathos,1693066055268,4,6,48,96,115,13644776,1692781.0783,185907062,8762762,S14 - Phain,France
Thyxou,1680962559158,4,1,0,9,36,10575602,1088950.8889,34762197,4440035,S11 - Ecera,France
Ragiel_,1677873789533,2,81,61,277,172,14007730,1571629.4012,245673404,24646853,S13 - Fafnir's Rest,France
MrRaichu,1693083230558,0,1,1,4,23,13084442,2836148.8696,63238121,1993303,S14 - Phain,Canada
Unicorn_Zoe,1677271806718,0,27,8,35,7,11839193,2091189.4286,13299809,1338517,Switch,France
Charlau,1693126597016,0,0,0,0,4,1184091,438779.5000,1492181,262937,S13 - Fafnir's Rest,France
_Emilou_,1677425572444,1,43,68,108,56,13238185,2358219.6964,120674960,11385343,S13 - Fafnir's Rest,France
_Flo04,1693145588984,2,89,57,216,60,13022743,2641294.6167,154016557,4461120,S14 - Phain,France
Poppiz_Ugo,1677870529783,2,36,95,227,171,16493592,1384122.5029,197815490,38869458,Switch,France
Xiaojuuun,1681497659427,25,163,87,691,372,17127578,1285294.1801,424396520,53732915,Switch,France
Champimeuh28,1693224250380,1,0,0,9,38,14548016,3898784.1053,136471473,11682323,S14 - Phain,France
polocascroute,1693236906559,4,85,226,204,123,15726751,2282921.4065,261729136,19070197,S11 - Ecera,France
Shalamin,1693309579950,11,11,148,55,214,18193898,1367696.8551,260272903,32414224,S11 - Ecera,France
Kchouky,1693314452293,1,0,1,3,24,6658513,925089.1250,19970320,2231819,S14 - Phain,France
Enzebii,1693326168633,5,194,45,190,130,12648736,1492561.5154,185401322,8631675,S14 - Phain,France
Notitou,1693333959412,1,2,76,2,27,12109021,2824916.8889,73841703,2431053,S14 - Phain,France
Akwaden,1676815587912,4,77,52,119,175,14102579,1651401.7143,273107441,15887859,S13 - Fafnir's Rest,France
SISS0U,1693494135469,12,57,34,151,100,13779295,2103848.6100,197786334,12598527,S14 - Phain,France
Fhara,1693555428196,2,68,92,158,116,17014085,2643915.6983,289071774,17622447,BuildSurvisland,France
Fusoya_,1693590719639,2,26,78,40,48,13579859,2581412.5833,117645538,6262266,S13 - Fafnir's Rest,Belgium
Noereau,1677959978730,0,18,1,6,41,11499903,2844849.0000,106665048,9973761,S13 - Fafnir's Rest,France
OfChara,1682880766061,13,443,212,586,191,22017487,2128121.6545,365211337,41259899,Switch,France
M4rcoo_,1693654809335,0,0,0,1,2,2081427,1093660.0000,2187320,0,S13 - Fafnir's Rest,France
Thakeax,1676733272982,9,120,113,292,218,14341231,1370953.0183,252100164,46767594,BuildSurvisland,France
Galykera,1693657229668,0,18,44,76,41,12946256,2648268.3902,105856925,2722079,S14 - Phain,France
Lougrearm,1693659446323,1,23,13,42,24,12225974,2703245.7917,58226461,6651438,S14 - Phain,France
Shxmeless,1693742981446,2,62,86,41,112,13468750,1436672.3571,149011666,11895638,S14 - Phain,France
LucLec0,1685214572691,2,59,7,134,30,13742571,1513256.3667,42890966,2506725,Switch,Canada
Keuf,1693766207869,3,0,0,0,6,96395,27454.6667,164728,0,LobbySurvisland,France
Nivek45,1694015579082,3,16,40,24,51,14199176,2488634.2941,120506444,6413905,S14 - Phain,France
RizDeau,1694184704865,1,17,44,101,54,13741941,3152202.1667,147080685,23138232,S14 - Phain,France
_Megabyte,1676819725662,0,0,0,1,25,9078343,2412806.0800,37549167,22770985,S13 - Fafnir's Rest,Canada
Kuery_,1676817392812,1,2,59,15,55,14099636,3254927.5818,176694225,2326792,S13 - Fafnir's Rest,France
Lenya__,1676730714033,1,0,0,0,27,5713746,750631.2593,18966151,1300893,S13 - Fafnir's Rest,France
Emiiilou,1676728911681,0,0,0,0,2,11939,9002.0000,18004,0,LobbySurvisland,France
